Year,Country,Isocode,"Unemployment, total (% of total labor force) (national estimate)","Inflation, GDP deflator (annual %)"
2017 [YR2017],Spain,SPN,17.22360039,1.299554832
2018 [YR2018],Spain,SPN,15.25469971,1.188141606
2019 [YR2019],Spain,SPN,14.10420036,1.388484329
1996 [YR1996],Japan,JPN,3.400000095,-0.496487072
1997 [YR1997],Japan,JPN,3.400000095,0.503830133
1998 [YR1998],Japan,JPN,4.099999905,-0.045119614
1999 [YR1999],Japan,JPN,4.699999809,-1.309492414
2000 [YR2000],Japan,JPN,4.699999809,-1.383685531
2001 [YR2001],Japan,JPN,5,-1.104516896
2002 [YR2002],Japan,JPN,5.400000095,-1.458286043
2003 [YR2003],Japan,JPN,5.300000191,-1.616981144
2004 [YR2004],Japan,JPN,4.699999809,-1.100735877
2005 [YR2005],Japan,JPN,4.400000095,-1.037434652
2006 [YR2006],Japan,JPN,4.099999905,-0.883377798
2007 [YR2007],Japan,JPN,3.900000095,-0.729479771
2008 [YR2008],Japan,JPN,4,-0.980895409
2009 [YR2009],Japan,JPN,5.099999905,-0.61127256
2010 [YR2010],Japan,JPN,5.099999905,-1.895163535
2011 [YR2011],Japan,JPN,4.520999908,-1.674325774
2012 [YR2012],Japan,JPN,4.300000191,-0.761554976
2013 [YR2013],Japan,JPN,4,-0.333177012
2014 [YR2014],Japan,JPN,3.599999905,1.745314197
2015 [YR2015],Japan,JPN,3.400000095,2.145396779
2016 [YR2016],Japan,JPN,3.099999905,0.270403428
2017 [YR2017],Japan,JPN,2.799999952,-0.228786498
2018 [YR2018],Japan,JPN,2.400000095,-0.097921833
2019 [YR2019],Japan,JPN,2.400000095,0.591509482
1996 [YR1996],Frane,FRA,12.36730003,1.358078066
1997 [YR1997],Frane,FRA,12.56620026,0.87820164
1998 [YR1998],Frane,FRA,12.07489967,0.950262691
1999 [YR1999],Frane,FRA,11.98079967,0.203811155
2000 [YR2000],Frane,FRA,10.21720028,1.553290253
2001 [YR2001],Frane,FRA,8.6104002,2.008334185
2002 [YR2002],Frane,FRA,8.701700211,2.067425741
2003 [YR2003],Frane,FRA,8.306500435,1.859368244
2004 [YR2004],Frane,FRA,8.913599968,1.62267544
2005 [YR2005],Frane,FRA,8.493499756,1.936341419
2006 [YR2006],Frane,FRA,8.447799683,2.155327391
2007 [YR2007],Frane,FRA,7.656700134,2.556637015
2008 [YR2008],Frane,FRA,7.063399792,2.36707384
2009 [YR2009],Frane,FRA,8.736300468,0.066627476
2010 [YR2010],Frane,FRA,8.871299744,1.069697476
2011 [YR2011],Frane,FRA,8.81099987,0.947960225
2012 [YR2012],Frane,FRA,9.40019989,1.161825032
2013 [YR2013],Frane,FRA,9.920599937,0.778100531
2014 [YR2014],Frane,FRA,10.29220009,0.576944233
2015 [YR2015],Frane,FRA,10.35400009,1.138248785
2016 [YR2016],Frane,FRA,10.03880024,0.522559343
2017 [YR2017],Frane,FRA,9.404899597,0.521577263
2018 [YR2018],Frane,FRA,9.016500473,0.951860516
2019 [YR2019],Frane,FRA,8.443400383,1.227217569
1996 [YR1996],Italy,ITA,11.87409973,4.507623208
1997 [YR1997],Italy,ITA,11.99909973,2.56737469
1998 [YR1998],Italy,ITA,12.11870003,2.402621678
1999 [YR1999],Italy,ITA,11.68999958,1.536128447
2000 [YR2000],Italy,ITA,10.84179974,1.792397966
2001 [YR2001],Italy,ITA,9.595100403,3.033592026
2002 [YR2002],Italy,ITA,9.207500458,3.27434188
2003 [YR2003],Italy,ITA,8.865699768,3.147807929
2004 [YR2004],Italy,ITA,7.865600109,2.670183681
